_id,node_id,name,type,incorporation_date,struck_off_date,closed_date,jurisdiction,jurisdiction_description,countries,country_codes,sourceID,valid_until,note
1043609,85004929,ANTAM ENTERPRISES N.V.,LIMITED LIABILITY COMPANY,18-MAY-1983,,28-NOV-2012,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1043623,85008443,DEVIATION N.V.,LIMITED LIABILITY COMPANY,28-JUN-1989,31-DEC-2002,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043697,85008517,ARIAZI N.V.,LIMITED LIABILITY COMPANY,19-JUL-1989,,19-MAY-2004,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1043722,85008542,FLAIRUBA N.V.,LIMITED LIABILITY COMPANY,27-JUL-1989,24-JUL-2000,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043763,85008583,S.L. ARUBA FISHERIES TRADING N.V.,LIMITED LIABILITY COMPANY,01-AUG-1989,,29-OCT-2007,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1043812,85008632,PALCOHI ARUBA N.V.,LIMITED LIABILITY COMPANY,18-AUG-1989,23-APR-2009,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043813,85008634,CHEECHO (ARUBA) N.V.,LIMITED LIABILITY COMPANY,18-AUG-1989,22-OCT-1996,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043826,85008647,WINTERGARDEN N.V.,LIMITED LIABILITY COMPANY,22-AUG-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043854,85008675,CRUKEL (ARUBA) II N.V.,LIMITED LIABILITY COMPANY,29-AUG-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043885,85008706,CARAMBOLA N.V.,LIMITED LIABILITY COMPANY,04-SEP-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1043972,85008794,BEACH BUM CO N.V.,LIMITED LIABILITY COMPANY,29-SEP-1988,30-DEC-2005,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044064,85008888,DE LANDAUER N.V.,LIMITED LIABILITY COMPANY,16-OCT-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044192,85009016,RUPCHAND SONS N.V.,LIMITED LIABILITY COMPANY,16-NOV-1989,,05-SEP-2016,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Liquidation date.
1044211,85009035,ASSANG TRADING COMPANY N.V.,LIMITED LIABILITY COMPANY,20-NOV-1989,,18-DEC-2007,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1044230,85009054,RED SAIL SPORTS ARUBA N.V.,LIMITED LIABILITY COMPANY,10-JAN-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044304,85009128,DEALS ON WHEELS N.V.,LIMITED LIABILITY COMPANY,06-DEC-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
